128|SF57816|1|2|GTQ Guatemala (Quetzal), Dólares por divisa	|Tipos de Cambio para Revalorización de Balance del Banco de México,  GTQ Guatemala (Quetzal), Dólares por divisa	|2000-01-01|\N|\N|1|\N|\N
129|SF57817|1|2|GTQ Guatemala (Quetzal), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, GTQ Guatemala (Quetzal), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
130|SF57818|1|2|GYD Guyana (Dólar), Dólares por divisa	|Tipos de Cambio para Revalorización de Balance del Banco de México,GYD Guyana (Dólar), Dólares por divisa	|2000-01-01|\N|\N|1|\N|\N
131|SF57819|1|2|GYD Guyana (Dólar), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, GYD Guyana (Dólar), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
132|SF57822|1|2|HNL Honduras (Lempira), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México,  HNL Honduras (Lempira), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
133|SF57823|1|2|HNL Honduras (Lempira), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, HNL Honduras (Lempira), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
134|SF57824|1|2|HKD Hong Kong (Dólar), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México,  HKD Hong Kong (Dólar), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
135|SF57825|1|2|HKD Hong Kong (Dólar), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, HKD Hong Kong (Dólar), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
136|SF57826|1|2|HUF Hungría (Forint), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México, HUF Hungría (Forint), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
137|SF57827|1|2|HUF Hungría (Forint), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, HUF Hungría (Forint), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
138|SF57828|1|2|INR India (Rupia), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México, INR India (Rupia), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
139|SF57829|1|2|INR India (Rupia), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, INR India (Rupia), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
140|SF57830|1|2|IDR Indonesia (Rupia 2/), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México,  IDR Indonesia (Rupia 2/), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
141|SF57831|1|2|IDR Indonesia (Rupia 2/), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México,  IDR Indonesia (Rupia 2/), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
142|SF57832|1|2|IQD Irak (Dinar), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México, IQD Irak (Dinar), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
143|SF57833|1|2|IQD Irak (Dinar), Tipo en pesos|Tipos de Cambio para Revalorización de Balance del Banco de México, IQD Irak (Dinar), Tipo en pesos|2000-01-01|\N|\N|1|\N|\N
144|SF57836|1|2|ILS Israel (Shekel), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México,  ILS Israel (Shekel), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
145|SF57837|1|2|ILS Israel (Shekel), Tipo en pesos|Tipos de Cambio para Revalorización de Balance del Banco de México, ILS Israel (Shekel), Tipo en pesos|2000-01-01|\N|\N|1|\N|\N
146|SF57838|1|2|JMD Jamaica (Dólar), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México,  JMD Jamaica (Dólar), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
147|SF57839|1|2|JMD Jamaica (Dólar), Tipo en pesos|Tipos de Cambio para Revalorización de Balance del Banco de México,  JMD Jamaica (Dólar), Tipo en pesos|2000-01-01|\N|\N|1|\N|\N
148|SF57840|1|2|JPY Japón (Yen), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México, JPY Japón (Yen), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
149|SF57841|1|2|JPY Japón (Yen), Tipo en pesos|Tipos de Cambio para Revalorización de Balance del Banco de México, JPY Japón (Yen), Tipo en pesos|2000-01-01|\N|\N|1|\N|\N
